time;PV2;PV5;PV6;PV8;Hydro3;lv_rural3;lv_semiurb4;lv_semiurb5;lv_urban6
01.01.2016 00:00;0;0;0;0;0.920502;0;0;0;0
01.01.2016 00:15;0;0;0;0;0.909884;0;0;0;0
01.01.2016 00:30;0;0;0;0;0.915698;0;0;0;0
01.01.2016 00:45;0;0;0;0;0.909884;0;0;0;0
01.01.2016 01:00;0;0;0;0;0.909884;0;0;0;0
01.01.2016 01:15;0;0;0;0;0.901163;0;0;0;0
01.01.2016 01:30;0;0;0;0;0.909884;0;0;0;0
01.01.2016 01:45;0;0;0;0;0.906977;0;0;0;0
01.01.2016 02:00;0;0;0;0;0.906977;0;0;0;0
01.01.2016 02:15;0;0;0;0;0.901163;0;0;0;0
01.01.2016 02:30;0;0;0;0;0.906977;0;0;0;0
01.01.2016 02:45;0;0;0;0;0.906977;0;0;0;0
01.01.2016 03:00;0;0;0;0;0.90407;0;0;0;0
01.01.2016 03:15;0;0;0;0;0.898256;0;0;0;0
01.01.2016 03:30;0;0;0;0;0.906977;0;0;0;0
01.01.2016 03:45;0;0;0;0;0.889535;0;0;0;0
01.01.2016 04:00;0;0;0;0;0.924419;0;0;0;0
01.01.2016 04:15;0;0;0;0;0.918605;0;0;0;0
01.01.2016 04:30;0;0;0;0;0.927326;0;0;0;0
01.01.2016 04:45;0;0;0;0;0.927326;0;0;0;0
01.01.2016 05:00;0;0;0;0;0.921512;0;0;0;0
01.01.2016 05:15;0;0;0;0;0.918605;0;0;0;0
01.01.2016 05:30;0;0;0;0;0.924419;0;0;0;0
01.01.2016 05:45;0;0;0;0;0.918605;0;0;0;0
01.01.2016 06:00;0;0;0;0;0.918605;0;0;0;0
01.01.2016 06:15;0;0;0;0;0.915698;0;0;0;0
01.01.2016 06:30;0;0;0;0;0.924419;0;0;0;0
01.01.2016 06:45;0;0;0;0;0.921512;0;0;0;0
01.01.2016 07:00;0;0;0;0;0.918605;0;0;0;0
01.01.2016 07:15;0;0;0;0;0.915698;0;0;0;0
01.01.2016 07:30;0;0;0;0;0.924419;0;0;0;0
01.01.2016 07:45;0;0;0;0;0.918605;0;0;0;0
01.01.2016 08:00;0;0;0;0;0.918605;0;0;0;0
01.01.2016 08:15;0;0;0;0;0.912791;0;0;0;0
01.01.2016 08:30;0;0;0;0;0.921512;0;0;0;0
01.01.2016 08:45;0;0;0;0;0.915698;0;0;0;0
01.01.2016 09:00;0;0;0;0;0.918605;0;0;0;0
01.01.2016 09:15;0;0;0;0;0.912791;0;0;0;0
01.01.2016 09:30;0;0;0;0;0.918605;0;0;0;0
01.01.2016 09:45;0;0;0;0;0.898256;0;0;0;0
01.01.2016 10:00;0;0;0;0;0.93314;0;0;0;0
01.01.2016 10:15;0;0;0;0;0.927326;0;0;0;0
01.01.2016 10:30;0;0;0;0;0.93314;0;0;0;0
01.01.2016 10:45;0;0;0;0;0.930233;0;0;0;0
01.01.2016 11:00;0;0;0;0;0.930233;0;0;0;0
01.01.2016 11:15;0;0;0;0;0.924419;0;0;0;0
01.01.2016 11:30;0;0;0;0;0.930233;0;0;0;0
01.01.2016 11:45;0;0;0;0;0.930233;0;0;0;0
01.01.2016 12:00;0;0;0;0;0.927326;0;0;0;0
01.01.2016 12:15;0;0;0;0;0.921512;0;0;0;0
01.01.2016 12:30;0;0;0;0;0.927326;0;0;0;0
01.01.2016 12:45;0;0;0;0;0.927326;0;0;0;0
01.01.2016 13:00;0;0;0;0;0.921512;0;0;0;0
01.01.2016 13:15;0;0;0;0;0.921512;0;0;0;0
01.01.2016 13:30;0;0;0;0;0.927326;0;0;0;0
01.01.2016 13:45;0;0;0;0;0.924419;0;0;0;0
01.01.2016 14:00;0;0;0;0;0.921512;0;0;0;0
01.01.2016 14:15;0;0;0;0;0.921512;0;0;0;0
01.01.2016 14:30;0;0;0;0;0.915698;0;0;0;0
01.01.2016 14:45;0;0;0;0;0.918605;0;0;0;0
01.01.2016 15:00;0;0;0;0;0.915698;0;0;0;0
01.01.2016 15:15;0;0;0;0;0.912791;0;0;0;0
01.01.2016 15:30;0;0;0;0;0.924419;0;0;0;0
01.01.2016 15:45;0;0;0;0;0.906977;0;0;0;0
01.01.2016 16:00;0;0;0;0;0.93314;0;0;0;0
01.01.2016 16:15;0;0;0;0;0.93314;0;0;0;0
01.01.2016 16:30;0;0;0;0;0.927326;0;0;0;0
01.01.2016 16:45;0;0;0;0;0.930233;0;0;0;0
01.01.2016 17:00;0;0;0;0;0.924419;0;0;0;0
01.01.2016 17:15;0;0;0;0;0.924419;0;0;0;0
01.01.2016 17:30;0;0;0;0;0.93314;0;0;0;0
01.01.2016 17:45;0;0;0;0;0.930233;0;0;0;0
01.01.2016 18:00;0;0;0;0;0.930233;0;0;0;0
01.01.2016 18:15;0;0;0;0;0.924419;0;0;0;0
01.01.2016 18:30;0;0;0;0;0.927326;0;0;0;0
01.01.2016 18:45;0;0;0;0;0.924419;0;0;0;0
01.01.2016 19:00;0;0;0;0;0.924419;0;0;0;0
01.01.2016 19:15;0;0;0;0;0.918605;0;0;0;0
01.01.2016 19:30;0;0;0;0;0.930233;0;0;0;0
01.01.2016 19:45;0;0;0;0;0.924419;0;0;0;0
01.01.2016 20:00;0;0;0;0;0.924419;0;0;0;0
01.01.2016 20:15;0;0;0;0;0.921512;0;0;0;0
01.01.2016 20:30;0;0;0;0;0.921512;0;0;0;0
01.01.2016 20:45;0;0;0;0;0.921512;0;0;0;0
01.01.2016 21:00;0;0;0;0;0.915698;0;0;0;0
01.01.2016 21:15;0;0;0;0;0.915698;0;0;0;0
01.01.2016 21:30;0;0;0;0;0.924419;0;0;0;0
01.01.2016 21:45;0;0;0;0;0.90407;0;0;0;0
01.01.2016 22:00;0;0;0;0;0.936047;0;0;0;0
01.01.2016 22:15;0;0;0;0;0.930233;0;0;0;0
01.01.2016 22:30;0;0;0;0;0.930233;0;0;0;0
01.01.2016 22:45;0;0;0;0;0.927326;0;0;0;0
01.01.2016 23:00;0;0;0;0;0.927326;0;0;0;0
01.01.2016 23:15;0;0;0;0;0.924419;0;0;0;0
01.01.2016 23:30;0;0;0;0;0.936047;0;0;0;0
01.01.2016 23:45;0;0;0;0;0.93314;0;0;0;0
02.01.2016 00:00;0;0;0;0;0.930233;0;0;0;0
02.01.2016 00:15;0;0;0;0;0.930233;0;0;0;0
02.01.2016 00:30;0;0;0;0;0.930233;0;0;0;0
02.01.2016 00:45;0;0;0;0;0.927326;0;0;0;0
02.01.2016 01:00;0;0;0;0;0.927326;0;0;0;0
02.01.2016 01:15;0;0;0;0;0.921512;0;0;0;0
02.01.2016 01:30;0;0;0;0;0.93314;0;0;0;0
02.01.2016 01:45;0;0;0;0;0.927326;0;0;0;0
02.01.2016 02:00;0;0;0;0;0.927326;0;0;0;0
02.01.2016 02:15;0;0;0;0;0.924419;0;0;0;0
02.01.2016 02:30;0;0;0;0;0.921512;0;0;0;0
02.01.2016 02:45;0;0;0;0;0.924419;0;0;0;0
02.01.2016 03:00;0;0;0;0;0.918605;0;0;0;0
02.01.2016 03:15;0;0;0;0;0.921512;0;0;0;0
02.01.2016 03:30;0;0;0;0;0.924419;0;0;0;0
02.01.2016 03:45;0;0;0;0;0.90407;0;0;0;0
02.01.2016 04:00;0;0;0;0;0.930233;0;0;0;0
02.01.2016 04:15;0;0;0;0;0.93314;0;0;0;0
02.01.2016 04:30;0;0;0;0;0.927326;0;0;0;0
02.01.2016 04:45;0;0;0;0;0.924419;0;0;0;0
02.01.2016 05:00;0;0;0;0;0.924419;0;0;0;0
02.01.2016 05:15;0;0;0;0;0.921512;0;0;0;0
02.01.2016 05:30;0;0;0;0;0.930233;0;0;0;0
02.01.2016 05:45;0;0;0;0;0.927326;0;0;0;0
02.01.2016 06:00;0;0;0;0;0.924419;0;0;0;0
02.01.2016 06:15;0;0;0;0;0.924419;0;0;0;0
02.01.2016 06:30;0;0;0;0;0.921512;0;0;0;0
02.01.2016 06:45;0;0;0;0;0.921512;0;0;0;0
02.01.2016 07:00;0;0;0;0;0.921512;0;0;0;0
02.01.2016 07:15;0;0;0;0;0.918605;0;0;0;0
02.01.2016 07:30;0;0;0;0;0.927326;0;0;0;0
02.01.2016 07:45;0;0;0;0;0.924419;0;0;0;0
02.01.2016 08:00;0;0;0;0;0.924419;0;0;0;0
02.01.2016 08:15;0;0.0204335;0.0267444;0;0.924419;0;0.020433;0.014046;0.015895
02.01.2016 08:30;0;0.0408669;0.0534889;0;0.918605;0;0.040867;0.028091;0.031789
02.01.2016 08:45;0;0.0613004;0.0802333;0;0.918605;0;0.0613;0.042137;0.047684
02.01.2016 09:00;0;0.0817338;0.106978;0;0.918605;0;0.081734;0.056182;0.063579
02.01.2016 09:15;0.0187887;0.0785537;0.099969;0.0136049;0.912791;0;0.078554;0.059618;0.065186
02.01.2016 09:30;0.0375774;0.0753735;0.0929602;0.0272099;0.924419;0;0.075374;0.063054;0.066794
02.01.2016 09:45;0.0563661;0.0721934;0.0859514;0.0408148;0.901163;0;0.072193;0.06649;0.068401
02.01.2016 10:00;0.0751548;0.0690133;0.0789426;0.0544198;0.921512;0;0.069013;0.069926;0.070009
02.01.2016 10:15;0.079328;0.0679319;0.078013;0.0550869;0.906977;0;0.067932;0.070298;0.069974
02.01.2016 10:30;0.0835012;0.0668504;0.0770834;0.055754;0.880814;0;0.06685;0.070671;0.06994
02.01.2016 10:45;0.0876745;0.065769;0.0761539;0.0564211;0.819767;0;0.065769;0.071043;0.069905
02.01.2016 11:00;0.0918477;0.0646876;0.0752243;0.0570882;0.80814;0;0.064688;0.071416;0.069871
02.01.2016 11:15;0.0898817;0.0731705;0.0828057;0.0661082;0.854651;0.008962;0.07317;0.077342;0.076778
02.01.2016 11:30;0.0879157;0.0816534;0.0903872;0.0751282;0.799419;0.017924;0.081653;0.083268;0.083685
02.01.2016 11:45;0.0859497;0.0901362;0.0979686;0.0841482;0.819767;0.026885;0.090136;0.089194;0.090593
02.01.2016 12:00;0.0839837;0.0986191;0.10555;0.0931682;0.799419;0.035847;0.098619;0.09512;0.0975
02.01.2016 12:15;0.0784153;0.0965142;0.101805;0.0932636;0.77907;0.026885;0.096514;0.09225;0.09486
02.01.2016 12:30;0.0728469;0.0944093;0.098059;0.093359;0.776163;0.017924;0.094409;0.08938;0.09222
02.01.2016 12:45;0.0672785;0.0923043;0.0943134;0.0934543;0.773256;0.008962;0.092304;0.086511;0.089581
02.01.2016 13:00;0.0617101;0.0901994;0.0905679;0.0935497;0.773256;0;0.090199;0.083641;0.086941
02.01.2016 13:15;0.0462826;0.0898243;0.090777;0.096856;0.796512;0;0.089824;0.080015;0.085259
02.01.2016 13:30;0.0308551;0.0894491;0.0909862;0.100162;0.747093;0;0.089449;0.07639;0.083577
02.01.2016 13:45;0.0154275;0.0890739;0.0911953;0.103469;0.773256;0;0.089074;0.072764;0.081895
02.01.2016 14:00;0;0.0886988;0.0914045;0.106775;0.761628;0;0.088699;0.069139;0.080213
02.01.2016 14:15;0;0.0665241;0.0685533;0.0800813;0.752907;0;0.066524;0.051854;0.060159
02.01.2016 14:30;0;0.0443494;0.0457022;0.0533875;0.744186;0;0.044349;0.034569;0.040106
02.01.2016 14:45;0;0.0221747;0.0228511;0.0266938;0.744186;0;0.022175;0.017285;0.020053
02.01.2016 15:00;0;0;0;0;0.744186;0;0;0;0
02.01.2016 15:15;0;0;0;0;0.773256;0;0;0;0
